Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
28.09.2015 kl. 13.35.36,36-40,10,Male,FINN.no,FINN,400,150,"Bash, Groovy, Java, JavaScript, Python",devops,"Bash, C, Clojure, Common Lisp, Groovy, Java, JavaScript, Lua, PHP, Pascal, Perl, Python, Ruby, Smalltalk, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle)","T-SQL , SQL/PSM , PL/SQL ",2,2,1,1,3,2,2,4,5,3,1,2,3,3,1,1,Clojure,"Need it for work, Need it for non-work, Just to learn",5
04.09.2015 kl. 10.13.16,31-35,10,Male,Finn.no ,FINN,500,300,"Bash, Go, JavaScript, Python, Ruby",devops,"AWK, Bash, C, C#, C++, Common Lisp, Erlang, Forth, Fortran, Go, Haskell, Java, JavaScript, PHP, Pascal, Perl, PowerShell, Python, R, Ruby, Smalltalk, Tcl, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",4,3,2,3,2,2,2,1,3,3,1,3,4,4,1,1,Ruby,"Need it for work, Need it for non-work, Just to learn",6
28.08.2015 kl. 19.26.23,31-35,10,Male,FINN.no AS,FINN,500,120,"Bash, Groovy, Java, JavaScript",a fullstack developer,"AWK, Bash, C, C#, C++, Groovy, Haskell, Java, JavaScript, Objective-C, PHP, Perl, PowerShell, Prolog, Python, Scala, Visual Basic, Z, Octave, Mathematica","SQL PL (IBM DB2), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), SQLite","SQL PL , PL/SQL , PL/pgSQL , SQLite",3,3,2,2,1,1,1,4,5,3,2,2,2,1,2,1,Java,"Need it for work, Need it for non-work",7
31.08.2015 kl. 07.31.37,41-45,10,Male,FINN.no AS,FINN,450,150,"Java, JavaScript",a backend developer,"Bash, C, C++, Java, JavaScript, PHP, Pascal, Perl, Python, Ruby, Scala, Smalltalk, Visual Basic","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,4,2,4,1,1,1,2,5,3,1,3,3,2,2,1,Java,Need it for work,3
03.09.2015 kl. 13.26.26,56-60,10,Male,Finn.no AS,FINN,400,120,Java,a backend developer,"AWK, Bash, C, Fortran, Haskell, Java, JavaScript, PHP, Pascal, Perl, Python, Ruby, Scala, Simula, Visual Basic, Assembler","T-SQL (Microsoft / Sybase), Watcom-SQL (Sybase)","T-SQL , Watcom-SQL ",2,3,1,2,1,1,1,1,4,2,1,2,2,2,2,1,Java,Just to learn,4
26.09.2015 kl. 14.22.50,61-65,10,Male,Finn.no AS,FINN,400,100,"SQL, Data Services",Dsata WareHouse,"AWK, Bash, Java, Simula, COBOL","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), Watcom-SQL (Sybase)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , Watcom-SQL ",4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,Java,Need it for work,4
15.09.2015 kl. 10.41.23,31-35,10,Male,Infojobs,Infojobs,200,50,Java,a backend developer,"C, C++, Java, JavaScript, Objective-C, Python, Scala, Swift","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",2,2,1,2,1,1,1,1,5,2,2,1,2,1,3,2,Scala,Just to learn,3
03.09.2015 kl. 15.52.16,46-50,10,Male,Inonit AS,Inonit AS,10,8,"Bash, Python",devops,"AWK, Bash, Common Lisp, PHP, Perl, Python, Ruby, Scheme, Simula, Tcl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",4,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,Ruby,"Need it for work, Just to learn",3
01.09.2015 kl. 13.54.27,26-30,5,Male,jofogas,Jófogás,50,12,"Bash, JavaScript, PHP",a fullstack developer,"Bash, C, C++, JavaScript, PHP, Pascal","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,3,2,3,1,1,1,1,2,4,1,5,2,2,1,1,PHP,"Need it for work, Need it for non-work, Just to learn",4
01.09.2015 kl. 13.58.24,26-30,4,Male,Jofogas,Jófogás,30,12,"Bash, C, JavaScript, PHP",a fullstack developer,"Bash, C, C#, C++, CoffeeScript, Erlang, Java, JavaScript, PHP, Perl, Prolog, Python, Ruby, Visual Basic","PSQL (Interbase / Firebird), PL/pgSQL (PostgreSQL)","PSQL , PL/pgSQL ",3,3,2,2,1,3,1,1,3,4,1,4,2,2,1,1,JavaScript,Just to learn,5
01.09.2015 kl. 14.02.36,26-30,2,Male,Jofogas,Jófogás,50,15,"Bash, C, JavaScript, PHP, template language",a backend developer,"AWK, Bash, C, C#, C++, Java, JavaScript, PHP, Perl","PSQL (Interbase / Firebird), PL/pgSQL (PostgreSQL)","PSQL , PL/pgSQL ",3,3,2,3,1,2,1,1,2,4,1,3,1,1,1,1,PHP,"Need it for work, Need it for non-work, Just to learn",3
02.09.2015 kl. 09.39.30,36-40,10,Male,Jofogas,Jófogás,40,12,"Bash, CoffeeScript, Go, JavaScript, PHP, Ruby",a fullstack developer,"AWK, Bash, Brainfuck, C, C#, C++, Clojure, CoffeeScript, Erlang, F#, Fortran, Go, Haskell, Java, JavaScript, Kotlin, Lua, OCaml, Objective-C, PHP, Pascal, Perl, Prolog, Python, Ruby, Scala, Smalltalk, Visual Basic, Delphi,MS-DOS batch","PSQL (Interbase / Firebird), SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PSQL , SQL PL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",4,4,4,4,2,2,4,1,3,5,3,5,2,2,2,1,Go,"Need it for work, Need it for non-work, Just to learn",5
01.09.2015 kl. 14.12.31,−25,4,Male,Jófogás,Jófogás,30,12,"Bash, JavaScript, PHP, Python, Ruby, tmpl",a fullstack developer,"AWK, Bash, Brainfuck, C, Java, JavaScript, Lua, PHP, Perl, Python, Ruby, Visual Basic, tmpl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), sqlite","SQL/PSM , PL/SQL , PL/pgSQL , SQLite",5,3,1,2,1,2,1,1,5,5,1,5,4,4,1,1,Python,"Need it for work, Need it for non-work, Just to learn",10
01.09.2015 kl. 13.43.52,26-30,4,Male,Jófogás.hu,Jófogás,25,11,"Bash, C#, Go, Java, JavaScript, Objective-C, PHP, Python, Ruby, Swift",a fullstack developer,"Bash, C, C#, C++, CoffeeScript, D, F#, Go, Groovy, Java, JavaScript, Objective-C, PHP, Perl, Python, Ruby, Rust, Scala, Swift, Visual Basic",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,4,4,2,3,3,4,5,4,5,5,5,4,3,4,Erlang,"Need it for work, Need it for non-work, Just to learn",5
01.09.2015 kl. 14.23.48,26-30,8,Male,Schibsted - Jofogas.hu,Jófogás,35,14,"JavaScript, platform template",a fullstack developer,"JavaScript, PHP, Pascal","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",2,1,1,1,1,3,1,1,1,5,1,4,1,1,1,1,JavaScript,Easy to use and powerful like Node.js!,3
28.08.2015 kl. 10.44.12,41-45,10,Male,Kapaza,Kapaza,30,12,"Bash, C, PHP, Python, Ruby, Perl",a backend developer,"AWK, Bash, C, C++, Fortran, Java, JavaScript, PHP, Pascal, Perl, Python, Ruby, Tcl, Boost","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",5,5,1,3,1,1,2,1,2,3,1,4,4,3,1,1,Go,Just to learn,5
28.08.2015 kl. 14.05.08,26-30,6,Male,Kapaza,Kapaza,30,11,"Objective-C, Swift",a frontend developer,"Java, JavaScript, Objective-C, Swift","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",1,2,2,2,1,1,1,1,3,3,4,1,1,1,1,4,Swift,Need it for non-work,1
28.08.2015 kl. 13.55.52,26-30,5,Male,Le Bon Coin,Le Bon Coin,300,60,"Bash, C, PHP",a backend developer,"Bash, C, JavaScript, PHP",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,1,2,1,1,1,1,2,4,1,3,2,2,1,1,Go,"Need it for work, Just to learn",5
28.08.2015 kl. 11.02.41,36-40,10,Male,Leboncoin,Le Bon Coin,300,80,"Bash, C, Java, Python, Ruby",a backend developer,"Go, Python, Rust",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,3,1,1,1,1,4,1,1,1,1,1,4,1,1,1,Go,"Need it for work, Need it for non-work, Just to learn",2
28.08.2015 kl. 12.37.32,36-40,10,Male,Leboncoin,Le Bon Coin,300,75,My position does not involve programming,Technical Manager,"Bash, Groovy, Java, JavaScript, PHP, Perl","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,2,1,1,1,1,2,3,4,3,1,4,2,2,2,1,Go,"Need it for work, Just to learn",
28.08.2015 kl. 13.54.47,26-30,3,Male,leboncoin,Le Bon Coin,300,70,"C, Go, PHP, Python",a backend developer,"C, C++, Go, Java, JavaScript, PHP, Perl, Python, R, Ruby","PSQL (Interbase / Firebird), PL/pgSQL (PostgreSQL)","PSQL , PL/pgSQL ",3,3,3,3,1,1,2,1,2,2,1,3,4,3,1,1,Python,Just to learn,5
28.08.2015 kl. 14.35.18,26-30,3,Male,Leboncoin,Le Bon Coin,300,70,Java,mobile developer,"C, Groovy, Java, Objective-C, Python, Ruby",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,3,1,1,1,1,1,2,4,2,2,3,3,2,1,1,Python,Need it for work,5
29.08.2015 kl. 14.17.17,26-30,4,Male,Leboncoin,Le Bon Coin,300,67,"Bash, C, C++, PHP, Python, Ruby",a backend developer,"AWK, Bash, Brainfuck, C, C#, C++, Erlang, Go, Java, JavaScript, Objective-C, PHP, Python, Ruby, Scheme, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",3,5,2,4,1,1,2,1,3,3,2,4,4,4,1,1,Go,"Need it for work, Need it for non-work, Just to learn",4
31.08.2015 kl. 14.12.28,26-30,5,Female,leboncoin,Le Bon Coin,300,70,"Bash, C, PHP, Python, Ruby, sql",a backend developer,"AWK, Bash, C, C++, Java, JavaScript, Objective-C, PHP, Python, Ruby",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,5,1,3,1,1,1,1,3,3,2,3,3,4,1,1,Ruby,Need it for work,3
01.09.2015 kl. 11.01.14,−25,2,Male,leboncoin,Le Bon Coin,300,80,"C, Java, PHP",a backend developer,"Bash, C, C#, C++, Go, Java, JavaScript, OCaml, PHP, Python",PL/SQL (Oracle),PL/SQL ,5,5,3,3,1,1,3,1,4,4,1,4,3,1,2,1,Go,"Need it for work, Need it for non-work",
01.09.2015 kl. 11.13.10,31-35,10,Female,leboncoin,Le Bon Coin,300,80,"Bash, C, PHP, Python, Ruby",a backend developer,"Bash, C, Java, JavaScript, PHP, Perl, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",4,4,1,1,1,1,1,1,3,3,1,3,2,2,1,1,C,Need it for work,3
01.09.2015 kl. 13.19.37,26-30,4,Male,leboncoin,Le Bon Coin,300,100,"Bash, C, PHP, Ruby, blocket template",a backend developer,"AWK, Bash, C, C++, Go, Haskell, JavaScript, PHP, R, Ruby, Scheme, Emacs Lisp",PL/pgSQL (PostgreSQL),PL/pgSQL ,5,5,1,2,1,1,2,1,1,2,1,2,1,2,1,1,Haskell,Just to learn,4
02.09.2015 kl. 12.36.27,31-35,8,Male,leboncoin,Le Bon Coin,300,100,"Bash, C, PHP, Ruby",a backend developer,"AWK, Bash, C, C++, Java, JavaScript, PHP, Perl, Python, Ruby, Visual Basic","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",5,5,1,3,1,1,1,1,3,2,1,4,3,3,1,1,Python,"Need it for work, Just to learn",3
03.09.2015 kl. 09.58.59,36-40,10,Male,Leboncoin,Le Bon Coin,250,60,"Bash, C, Go, JavaScript, PHP, Python, SQL, PL/SQL",a backend developer,"AWK, Bash, C, C++, Common Lisp, Go, JavaScript, Objective-C, PHP, Perl, PostScript, Prolog, Python, Tcl",PL/pgSQL (PostgreSQL),PL/pgSQL ,4,4,1,2,1,1,2,1,2,3,2,3,3,1,1,1,Go,"Need it for work, Need it for non-work, Just to learn, To learn is to live !",5
02.09.2015 kl. 11.30.33,31-35,4,Male,leboncoin.fr,Le Bon Coin,200,50,"JavaScript, PHP, Ruby",a backend developer,"AWK, Bash, JavaScript, PHP, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,3,1,1,1,1,1,1,1,1,4,1,4,3,3,1,1,PHP,"Need it for work, Need it for non-work, Just to learn",
28.08.2015 kl. 10.54.00,26-30,8,Male,Omni,Omni,20,5,"JavaScript, Swift",a fullstack developer,"Bash, C, C#, CoffeeScript, Java, JavaScript, Kotlin, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",3,3,3,2,1,3,1,2,4,5,3,2,2,2,3,2,JavaScript,"Need it for work, Need it for non-work, Just to learn",6
04.09.2015 kl. 20.38.57,36-40,5,Male,Penger,Penger.no,12,7,"JavaScript, Nodejs",a frontend developer,"Bash, Java, JavaScript, PHP","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",3,1,1,1,1,2,1,1,3,5,1,4,1,1,2,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",2
28.08.2015 kl. 12.25.20,31-35,7,Female,Penger.no,Penger.no,15,7,Scala,a backend developer,"C, Clojure, Java, JavaScript, PHP, Python, Ruby, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",2,2,1,1,2,1,1,2,5,3,1,2,3,3,5,1,Scala,"Need it for work, Just to learn",6
30.08.2015 kl. 20.28.29,36-40,10,Male,PENGER.no,Penger.no,15,7,"Bash, Scala",a backend developer,"AWK, Bash, C, C++, Clojure, Common Lisp, Groovy, Haskell, Java, JavaScript, Kotlin, PHP, Pascal, Perl, Prolog, Python, Ruby, Scala, Scheme, Simula, Smalltalk, Tcl, Visual Basic",PL/SQL (Oracle),PL/SQL ,3,2,1,2,2,1,1,2,4,3,1,2,3,3,4,1,Scala,"Need it for work, Need it for non-work, Just to learn",3
31.08.2015 kl. 12.06.26,36-40,9,Male,penger.no,Penger.no,12,6,"Clojure, JavaScript, Scala",a backend developer,"Bash, Clojure, Elixir, Go, Haskell, Java, JavaScript, PowerShell, Python, Ruby, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,4,1,1,1,3,1,2,3,5,4,1,1,2,3,5,1,Clojure,Just to learn,4
03.09.2015 kl. 10.01.33,41-45,10,Male,Penger.no,Penger.no,15,6,"Bash, Scala",a backend developer,"AWK, Bash, C, C++, Clojure, Common Lisp, Erlang, Go, Groovy, Haskell, Java, JavaScript, Julia, PHP, Pascal, Perl, PowerShell, Python, R, Ruby, Scala, Visual Basic, asm, modula-2,purescript,idris,prolog","T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , PL/SQL , PL/pgSQL ",3,3,1,3,4,1,2,3,5,3,1,3,4,3,4,1,Haskell,"Need it for non-work, Just to learn",4
28.08.2015 kl. 11.54.05,31-35,8,Male,Plan3,Plan3,15,13,"Bash, Clojure, Java",a backend developer,"Bash, Clojure, Go, Java","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",4,3,1,2,3,1,3,2,5,3,1,2,3,3,3,1,Clojure,"Need it for work, Need it for non-work, Just to learn",3
31.08.2015 kl. 05.18.01,36-40,10,Male,Schibsted,Schibsted,1000,200,"Java, Scala",a backend developer,"C, C++, Java, JavaScript, R, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,3,4,1,4,1,1,1,2,3,4,2,2,3,2,3,1,C++,"Need it for work, Need it for non-work, Just to learn, Solving a problem efficiently",4
03.09.2015 kl. 10.18.06,26-30,6,Male,Schibsted,Schibsted,10000,1500,"Bash, Java, JavaScript, Scala",a backend developer,"C, Java, JavaScript, Pascal, Python, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",2,2,2,3,2,1,2,4,5,3,1,1,3,2,4,1,Scala,"Need it for work, Need it for non-work, Just to learn",5
15.09.2015 kl. 10.41.05,26-30,4,Male,Schibsted ATE,Schibsted ATE,10,9,Scala,a backend developer,"Java, JavaScript, Ruby, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,2,1,2,1,2,1,1,4,3,1,2,1,4,4,1,Scala,Just to learn,5
28.08.2015 kl. 10.39.20,36-40,10,Male,Schibsted Centralen,Schibsted Centralen,120,90,"Bash, Go, PHP, Python, Ruby",devops,"Bash, Go, PHP, Perl, Python, Ruby","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,4,1,1,1,1,2,3,2,2,2,1,3,3,4,1,1,Ruby,"Need it for work, Need it for non-work, Just to learn",4
28.08.2015 kl. 16.01.41,−25,2,Male,Schibsted Centralen,Schibsted Centralen,150,130,"Bash, JavaScript",Technician,"AWK, Bash, Common Lisp, Dart, Java, JavaScript, Objective-C, PHP, Perl, PowerShell, Python","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,4,1,1,2,2,1,1,1,2,3,1,2,3,1,1,1,JavaScript,Just to learn,3
28.09.2015 kl. 12.10.16,46-50,10,Male,Schibsted Centralen,Schibsted Centralen,80,50,"Bash, Groovy, Java, JavaScript, PHP, Ruby",a fullstack developer,"Bash, C, C++, Groovy, Java, JavaScript, Lua, PHP, Perl, R, Ruby, Smalltalk, Visual Basic, COBOL !!","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase)","SQL PL , T-SQL ",4,2,1,2,1,1,1,5,4,4,1,4,1,4,2,1,Scala,Just to learn,3
29.09.2015 kl. 13.55.03,26-30,5,Male,Schibsted Centralen AB,Schibsted Centralen,80,60,"Bash, Groovy, Java, JavaScript, Ruby",a backend developer,"Bash, C, C++, Groovy, Haskell, Java, JavaScript, PHP, PowerShell, Python, R, Ruby","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",4,3,3,3,1,1,1,4,4,4,1,3,4,4,1,1,Java,Just to learn,1
28.08.2015 kl. 10.47.06,31-35,8,Rather not say,Schibsted Iberica,Schibsted Ibérica,9,8,"Bash, C, Go, Python",a fullstack developer,"Bash, C, Go, Java, JavaScript, PHP, Python, Vala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/pgSQL ",5,5,2,2,1,1,3,1,3,4,1,5,5,1,1,1,Go,Just to learn,2
28.08.2015 kl. 10.47.10,31-35,8,Male,Schibsted Iberica,Schibsted Ibérica,9,8,"Bash, C, Go, PHP, Python",a backend developer,"AWK, Bash, C, C++, Go, Haskell, JavaScript, PHP, Perl, Python",PL/pgSQL (PostgreSQL),PL/pgSQL ,4,5,2,4,1,1,3,1,3,4,2,4,5,2,1,1,Python,Need it for work,4
03.09.2015 kl. 14.44.50,31-35,8,Male,Schibsted Iberica,Schibsted Ibérica,30,30,Java,a fullstack developer,"C#, Java, JavaScript, PHP, Prolog","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/pgSQL ",2,2,3,2,1,1,1,1,4,4,1,4,2,1,1,2,Java,"Need it for non-work, Just to learn",3
15.09.2015 kl. 10.41.59,26-30,7,Male,Schibsted Iberica,Schibsted Ibérica,7,6,"Objective-C, Swift",a fullstack developer,"AWK, Bash, C, C++, Go, Groovy, Java, Objective-C, PHP, Ruby, Smalltalk, Swift","SQL/PSM (Mimer SQL, MySQL, MonetDB)",SQL/PSM ,5,5,2,5,1,1,2,2,4,2,5,4,4,4,2,5,Ruby,Just to learn,10
31.08.2015 kl. 10.05.22,36-40,10,Male,Schibsted Ibérica,Schibsted Ibérica,9,8,"Bash, C, Java",a fullstack developer,"AWK, Bash, C, C#, C++, Fortran, Go, Java, JavaScript, Objective-C, PHP, Pascal, Prolog, Python, Ruby, Visual Basic","SQL PL (IBM DB2), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",3,4,5,4,1,1,2,1,5,2,2,3,2,2,1,1,Go,"Need it for work, Need it for non-work, Just to learn",1
04.09.2015 kl. 13.22.40,31-35,8,Male,Schibsted Tech Madrid,Schibsted Ibérica,8,7,"Bash, C, PHP, Python",a fullstack developer,"Bash, C, Go, Java, JavaScript, Objective-C, PHP, Perl, Python, R, Ruby, Scala",PL/pgSQL (PostgreSQL),PL/pgSQL ,4,4,2,3,1,1,3,1,4,4,3,5,5,4,4,1,Scala,"Need it for work, Just to learn",5
28.08.2015 kl. 10.38.30,41-45,10,Male,SPT - Madrid,Schibsted Ibérica,9,8,"Bash, C, PHP, Python",a backend developer,"AWK, Bash, C, C++, Common Lisp, Go, Groovy, Java, JavaScript, Objective-C, PHP, Pascal, Perl, Prolog, Python, Ruby, Smalltalk, Tcl, Visual Basic","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",5,5,1,3,1,2,3,3,4,4,3,5,4,3,1,1,C,"Need it for work, Need it for non-work, Just to learn",
03.09.2015 kl. 09.55.53,46-50,10,Male,Schibsted IT (IBM),Schibsted IT (IBM),40,30,"Bash, PHP, Python",sysadmin,"AWK, Bash, C, C++, Common Lisp, Forth, Fortran, Java, PHP, Pascal, Perl, PostScript, Prolog, Python, Simula, Smalltalk, Tcl, LML (Lazy ML), Cobol, Assembly (x86, 6502)",PL/SQL (Oracle),PL/SQL ,5,4,1,3,1,1,1,1,3,3,2,3,4,1,1,1,Bash,"Need it for work, Need it for non-work",5
02.09.2015 kl. 10.02.05,36-40,1,Male,Schibsted Media Hungary,Schibsted Media Hungary,40,14,JavaScript,a frontend developer,"Bash, C++, CoffeeScript, JavaScript, Lua, Pascal, PostScript",PSQL (Interbase / Firebird),PSQL ,2,1,1,3,1,3,1,1,2,5,1,1,1,1,1,1,JavaScript,Just to learn,3
15.09.2015 kl. 15.29.10,41-45,10,Male,Schibsted Norge (Tech),Schibsted Norge,30,15,"Java, JavaScript, My position does not involve programming","Casual, but fullstack","AWK, Bash, C, Java, JavaScript, Simula","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",2,2,1,2,1,2,1,1,3,4,2,1,1,1,1,1,JavaScript,"Need it for work, Need it for non-work, Just to learn",4
31.08.2015 kl. 11.09.15,41-45,10,Male,Schibsted Norge Tech,Schibsted Norge,50,40,"Bash, Java, JavaScript",devops,"AWK, Bash, C, C#, C++, Common Lisp, Java, JavaScript, Objective-C, PHP, Perl, Python, Simula, Tcl","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), Watcom-SQL (Sybase)","T-SQL , SQL/PSM , PL/SQL , Watcom-SQL ",4,2,2,2,1,1,2,1,4,2,2,2,4,1,1,1,Swift,"Need it for work, Just to learn",5
28.08.2015 kl. 11.03.15,26-30,5,Male,Schibsted Spain,Schibsted Spain,200,80,"Bash, C, Java, JavaScript, PHP",a backend developer,"C, C#, Java, JavaScript, PHP","PSQL (Interbase / Firebird), SPL (IBM Informix), T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL)","PSQL , SPL , T-SQL , SQL/PSM , PL/pgSQL ",3,1,2,1,1,1,1,1,4,4,1,5,1,1,1,1,Scala,"Need it for work, Need it for non-work, Just to learn",3
28.08.2015 kl. 11.14.00,36-40,10,Male,Schibsted Spain,Schibsted Spain,700,350,"C#, Java",a backend developer,"Bash, C, C#, C++, Clojure, Common Lisp, Java, JavaScript, PHP, Pascal, Python, Swift, Visual Basic","T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","T-SQL , PL/SQL , PL/pgSQL , PL/PSM ",3,3,4,3,2,1,2,2,3,3,2,2,3,1,2,2,I don't know. It depends on the project requeriments,"Just to learn, Improve, be up to date, know new things.",8
28.08.2015 kl. 12.32.12,31-35,10,Male,Schibsted Spain,Schibsted Spain,700,100,"Groovy, Java, Objective-C, Swift",Mobile,"C, C++, Groovy, Java, JavaScript, Objective-C, PHP, Pascal, Python, Scala, Swift, Visual Basic, Asp, Assembler",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,5,3,3,1,1,2,3,5,3,4,3,2,1,2,2,Scala,Just to learn,3
31.08.2015 kl. 14.44.48,36-40,10,Male,Schibsted Spain,Schibsted Spain,700,200,"Bash, C#, JavaScript, Python",devops,"AWK, Bash, C#, Go, Java, JavaScript, PHP, Perl, PowerShell, Python, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL ",2,1,5,1,1,1,2,1,3,3,1,3,5,1,1,1,Python,Just to learn,4
15.09.2015 kl. 10.26.24,26-30,8,Male,Schibsted Spain,Schibsted Spain,600,200,"Bash, Python, Powershell",devops,"AWK, Bash, C, C#, C++, Java, JavaScript, Objective-C, PHP, Perl, PowerShell, Prolog, Python, Ruby, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",4,2,3,2,2,1,1,1,2,2,2,4,4,2,1,1,Ruby,"Need it for work, Need it for non-work",4
