Tidsmerke,Age,Experience,Gender,Which company do you work for?,Which company do you work for [Normalized]?,How many people work there in total?,How many in a technical position?,Current work,I see myself as primarily...,Which programming languages do you know?,Do you know any SQL-dialects?,Do you know any SQL-dialects? [Normalized],Bash,C,C#,C++,Clojure,CoffeeScript,Go,Groovy,Java,JavaScript,Objective-C,PHP,Python,Ruby,Scala,Swift,Your favourite,What motivates you to learn a new programming language?,"How many programming languages do you think a ""good"" programmer should know?"
28.08.2015 kl. 11.54.23,46-50,10,Male,Finn.no,FINN,500,100,"Groovy, Java",a backend developer,"Bash, C, C++, CoffeeScript, Groovy, Haskell, Java, JavaScript, PHP, Pascal, Perl, Prolog, R, Smalltalk, Visual Basic","SQL PL (IBM DB2), SPL (IBM Informix), T-SQL (Microsoft / Sybase), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL PL , SPL , T-SQL , PL/SQL , PL/pgSQL ",3,3,3,4,1,1,1,4,5,3,2,2,1,1,2,1,Java,"Need it for work, Need it for non-work",5
28.08.2015 kl. 12.02.15,41-45,10,Male,FINN.no,FINN,450,120,"Bash, Java",a backend developer,"Bash, C, C++, CoffeeScript, Haskell, Java, JavaScript, Objective-C, Pascal, Perl, Python, Ruby, Scala, Visual Basic","T-SQL (Microsoft / Sybase), PL/pgSQL (PostgreSQL)","T-SQL , PL/pgSQL ",5,2,1,2,1,2,1,2,5,3,2,4,3,3,4,1,Java,"Need it for work, Need it for non-work, Just to learn",4
28.08.2015 kl. 12.04.49,31-35,10,Female,FINN.no,FINN,483,100,"Groovy, Java, JavaScript, Ruby",a fullstack developer,"C++, Groovy, Java, JavaScript, Prolog, Ruby, Scheme, Simula",PL/SQL (Oracle),PL/SQL ,1,1,1,2,1,1,1,4,4,4,1,1,1,3,1,1,JavaScript,Just to learn,5
28.08.2015 kl. 12.07.28,31-35,10,Male,FINN.no,FINN,400,100,"Bash, Go, Groovy, Java, JavaScript, Python, Ruby, Scala",a backend developer,"AWK, Bash, C, C#, C++, Clojure, CoffeeScript, Common Lisp, Erlang, Go, Groovy, Haskell, Java, JavaScript, PHP, Pascal, Perl, Prolog, Python, Ruby, Scala, Scheme, Smalltalk, Visual Basic","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL)","T-SQL , SQL/PSM , PL/SQL , PL/pgSQL , PL/PSM ",2,2,2,2,2,2,3,4,5,3,1,2,2,2,2,1,Java,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 12.31.30,41-45,10,Male,FINN.no,FINN,400,150,"Java, JavaScript, Scala",a fullstack developer,"Bash, C, C++, CoffeeScript, Go, Java, JavaScript, Pascal, Ruby, Scala, Ada",PL/pgSQL (PostgreSQL),PL/pgSQL ,2,1,1,1,1,2,1,2,5,4,1,2,1,2,3,1,Java,"Need it for work, Need it for non-work",5
28.08.2015 kl. 15.00.53,36-40,10,Male,FINN.no,FINN,340,100,"Bash, Java, JavaScript",a backend developer,"AWK, Bash, C, C++, Clojure, Groovy, Haskell, Java, JavaScript, Kotlin, Lua, PHP, Pascal, Perl, Prolog, Python, Ruby, Scala, Scheme, Visual Basic, fantom","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","SQL/PSM , PL/SQL , PL/pgSQL ",3,2,2,2,4,1,1,2,5,4,1,2,2,2,2,1,Clojure,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 17.41.01,41-45,10,Male,FINN.no,FINN,400,120,Java,a fullstack developer,"AWK, Bash, C, C#, C++, Clojure, CoffeeScript, D, Dart, Go, Groovy, Java, JavaScript, Kotlin, Lua, Objective-C, PHP, Pascal, Perl, Pike, PowerShell, Python, R, Ruby, Scala, Swift, Tcl, Visual Basic, Rexx",SQL PL (IBM DB2),SQL PL ,2,5,4,5,2,2,2,3,4,3,2,2,2,2,3,2,Java,"Need it for work, Need it for non-work, Just to learn",5
28.08.2015 kl. 21.02.33,36-40,10,Male,FINN.no,FINN,400,100,"Bash, Java, JavaScript",a frontend developer,"AWK, Bash, C, C++, Clojure, Common Lisp, Haskell, Java, JavaScript, PHP, Pascal, Perl, Python, Ruby, Scala, Scheme, Clojurescript",PL/pgSQL (PostgreSQL),PL/pgSQL ,4,2,1,1,3,3,1,1,4,4,1,2,3,4,2,1,Clojure,"Need it for work, Need it for non-work, Just to learn",
29.08.2015 kl. 10.23.37,36-40,10,Male,FINN.no,FINN,400,120,"Bash, Python, Ruby, Puppet, Ansible",devops,"AWK, Bash, C, C++, Clojure, Common Lisp, Go, Java, JavaScript, Objective-C, PHP, Perl, Python, Ruby, Tcl, 680x0 asm, 6502 asm",PL/SQL (Oracle),PL/SQL ,3,2,1,2,2,1,2,1,2,2,1,2,4,3,1,1,Ruby,"Need it for work, Need it for non-work, Just to learn",5
31.08.2015 kl. 06.30.39,31-35,3,Male,FINN.no,FINN,350,120,"Bash, Java, Ruby",a backend developer,"Bash, C, C++, Clojure, Java, JavaScript, Lua, PHP, Perl, PowerShell, Python, Ruby, Scala, Visual Basic","PL/SQL (Oracle), PL/pgSQL (PostgreSQL)","PL/SQL , PL/pgSQL ",3,4,2,2,2,1,1,1,4,2,1,2,3,3,2,1,Java,"Need it for work, Need it for non-work, Just to learn",4
31.08.2015 kl. 09.05.46,−25,2,Male,FINN.no,FINN,500,150,"Bash, CoffeeScript, Java, JavaScript, Ruby, Scala",a fullstack developer,"AWK, Bash, C#, C++, CoffeeScript, Common Lisp, Groovy, Java, JavaScript, Ruby, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/SQL (Oracle), PL/pgSQL (PostgreSQL), Watcom-SQL (Sybase)","SQL/PSM , PL/SQL , PL/pgSQL , Watcom-SQL ",4,2,3,3,1,4,1,4,5,5,1,1,1,4,2,1,JavaScript,"Need it for work, Need it for non-work, Active community (e.g. Node.js)",4
31.08.2015 kl. 09.15.52,31-35,9,Female,FINN.no,FINN,430,130,"Java, JavaScript",a backend developer,"C, C#, C++, Java, JavaScript, Scala","SQL/PSM (Mimer SQL, MySQL, MonetDB), PL/pgSQL (PostgreSQL), PL/PSM (PostgreSQL), Watcom-SQL (Sybase)","SQL/PSM , PL/pgSQL , PL/PSM , Watcom-SQL ",2,3,3,3,2,2,1,2,5,4,2,2,2,2,3,1,Java,Need it for work,5
31.08.2015 kl. 09.40.49,41-45,10,Male,FINN.no,FINN,450,100,"Groovy, Java",a backend developer,"Bash, C, C++, Groovy, Java, JavaScript, PHP, Pascal, Perl, Ruby, Scala","T-SQL (Microsoft / Sybase), SQL/PSM (Mimer SQL, MySQL, MonetDB)","T-SQL , SQL/PSM ",3,2,2,2,1,1,1,3,5,3,1,3,1,1,3,1,Java,"Need it for work, Need it for non-work",3
31.08.2015 kl. 10.13.46,26-30,4,Male,FINN.no,FINN,500,120,"Groovy, Java, JavaScript, Scala",a fullstack developer,"AWK, Bash, C, C++, Clojure, CoffeeScript, Common Lisp, Erlang, Go, Haskell, Java, JavaScript, Julia, Objective-C, PHP, PostScript, Python, R, Ruby, Scala, Visual Basic","T-SQL (Microsoft / Sybase), PL/pgSQL (PostgreSQL)","T-SQL , PL/pgSQL ",3,4,1,2,3,2,1,3,5,5,3,2,4,2,3,1,Clojure,Just to learn,10
